,time,812,813,814,536,537,538,539,540,541,551,552,553,549,548,550,743,744,499,530,531,532,533,534,535,1029,1030,691,1031,770,771,772,773,774,775,776,889,890,891,894,893,892,896,897,979,980,981,982,987,988,989,990,991,992,993,709,708,711,710,812_loess,813_loess,814_loess,536_loess,537_loess,538_loess,539_loess,540_loess,541_loess,551_loess,552_loess,553_loess,549_loess,548_loess,550_loess,742_loess,743_loess,744_loess,499_loess,530_loess,531_loess,532_loess,533_loess,534_loess,535_loess,1029_loess,1030_loess,691_loess,1031_loess,770_loess,771_loess,772_loess,773_loess,774_loess,775_loess,776_loess,889_loess,890_loess,891_loess,894_loess,893_loess,892_loess,895_loess,896_loess,897_loess,979_loess,980_loess,981_loess,982_loess,987_loess,988_loess,989_loess,990_loess,991_loess,992_loess,993_loess,709_loess,708_loess,711_loess,710_loess
0,2000-01-01,4495.6665,4847.6665,4854.6665,2390,2656,3718.6667,2541.6667,2143,2327,1805.5,1868,1981.5,1510,1901,1901,3409.25,3428.5,1831.25,2920,2931.5,5187,5567,4719,3953,1344,1297.5,1545.5,1290,2443,1835.5,2227.5,2746.5,3884,3105,4546,2929.6389,4388.22216666667,3903.72223333333,2405.51846666667,2239.87033333333,2104.5278,1831.66666666667,2278.83333333333,5560,6001,5416,5256.5,6362,5850.5,6131,6912,6070,6279,6089,951,774,3582,4829,4561.99263765463,4895.73679302671,4976.44478404719,2339.06326087296,2578.52485458826,3698.78009264337,2557.32304861545,2021.06436584842,2246.67474800073,1841.08070655796,1915.13633963303,1986.54675399329,1595.10412057413,1871.34230458744,1871.34230458744,2327.59629170689,3691.29792719507,3634.00821030746,1840.47230021942,2996.77659421186,2810.54258900865,5239.80814828596,5536.59455463495,4763.70929365365,3932.39559737336,1336.60200883563,1320.14213397422,1540.61712342367,1294.27657678884,2522.81220651401,1903.46511916808,2340.3194155994,2807.71350129473,3844.81797821887,2783.11753977808,4126.0844402821,2949.98262178905,4396.74095316845,3946.66906502678,2400.62867075549,2238.97264531246,2093.66570475975,1488.64017212009,1872.34061703632,2371.08641423021,5704.75721945257,6083.30911204513,5481.53398014712,5289.10412192163,6311.18254407119,5809.02354001719,6078.85966400112,7119.67807063356,6241.62220197206,6468.12913695434,6260.5637019243,873.184378197037,712.919675049974,3686.7515020261,4685.73200770795
1,2000-02-01,4508,4999.6665,5232.6665,2208,2475.6667,3523.5,2449.1,1869,2216,1929,1985.5,1906.5,1900,2024,2024,4545.5,4539.5,2119.8333,3017,2225,5039,5158.5,4892,3778.5,1370.04165,1449.96875,1608.9792,1384.82295,3135.25,2515.5,3168.875,3235.125,2427,2517,3005,2892.6667,4374.6665,3824.6667,2312.5554,2192.611,2045.5834,1920,2436,5932,6128,5543.5,5330,6006.25,5478.41666666667,5772,6912,6070,6279,6089,679,535,4024,4452,4348.81666740537,4843.15285354425,4901.32256738026,2298.63135645293,2475.34910926926,3451.81390676836,2442.62523275037,2015.99381843454,2217.13419914248,1795.03294458692,1856.23669355857,1888.4609815775,1702.2482089361,1998.21125149692,1998.21125149692,2534.85091081761,3980.1867101402,3967.7125252104,1802.21739000512,2884.25745717871,2635.1066405873,5015.29014105076,5265.1482633221,4826.97213978099,3796.14610797945,1336.15428385658,1383.22144320083,1567.54452279724,1330.37026434734,2575.28672983914,2175.77666772085,2752.44106922411,3007.19510882498,3819.86163900489,2833.88335657179,3997.47167083833,2936.18492528995,4393.12903507972,3916.63309952709,2396.83432568,2236.0137314985,2093.38103329478,1471.7026797263,1821.07563810109,2229.58711210624,5512.43986770025,5855.80860031144,5306.41320875832,5171.2633525213,6155.73809033983,5730.13817114627,6015.90300985047,6780.28268885607,5979.71322873936,6168.09285561575,6003.29555181515,832.83119492738,664.258110747827,3814.65776416364,4598.84545129725
2,2000-03-01,4023.6667,4633,4627.6665,2256.3333,2198,3013.25,2354.6667,1989.5,1988,1574,1675.6666,1769.3334,1655.5,1932,1932,4415.3335,4383.3335,1612.75,2709.5,2411.125,4878.33333333333,5107.16666666667,4904,3661,1243,1378.3334,1450.3334,1216.8334,2307,2027.5,2706,2915,3650,2403,3761,3114.5,4456,4299,2535,2307,2134,1655,1964.5,4989,5214.375,4764.375,4764.625,6100,6011,6199,6912,6070,6279,6089,786.25,611.5,3793.875,4340.25,4144.84599840239,4815.71295451003,4841.13319354705,2251.39140162903,2406.32089218342,3259.10372321681,2323.13369090341,2025.52528844687,2218.08255074397,1760.61210431802,1805.86625679022,1792.26644675559,1814.61260259712,2133.43445755528,2133.43445755528,2719.04783445428,4272.67040861991,4302.48776054185,1772.1792950023,2767.05005824199,2452.88052164768,4777.24155733967,4981.9202434208,4891.30928239872,3666.88673834806,1346.3978168899,1450.54775515981,1603.32675691147,1376.27717559043,2645.28827720666,2484.78108417174,3187.59450110399,3226.48123757883,3800.15428754535,2933.10047105145,3888.68864102164,2910.67948695699,4384.63928166346,3861.77781753211,2375.24031532826,2223.56720985035,2083.66353653349,1452.6039184252,1766.84193349708,2081.16675250277,5344.223005225,5637.69864525133,5143.33936229056,5066.26916359355,5971.5491794083,5605.01785360381,5909.00288020724,6247.0946520572,5534.58667078171,5687.39150999274,5564.9458674628,791.023939250854,614.024843150972,3935.06334822153,4520.40320596894
3,2000-04-01,2182,3478,3177,2339,2266,1708,2201,2007.125,2193,1786.5,1778,1699.5,1997,2456,2456,4141,4072.5,1761.1666,2709.5,2411.125,4524.5,4708.25,4881.8,3475.583325,1352.5,1536.375,1685.75,1429.125,2783,2590,3705,3530,3936.8333,3394.75,4237.3335,2781.75,4334,3587.5,2369,2220,2134,1920,2436,5188,5874,5288.5,5183,6624,5690,6063,6912,6070,6279,6089,810,611,4293.5,4781,3994.58091079316,4907.61310639878,4856.74434450336,2203.04685842051,2497.84242065013,3262.26083595014,2244.80318098043,2157.70218492554,2361.14160011662,1761.26424502738,1820.80333674349,1781.76045342692,1908.00777513599,2305.80941544509,2305.80941544509,2883.81448737264,4437.96453102088,4580.34124928258,1753.60238288768,2624.22685029414,2346.44212761221,4527.26278982554,4725.71452755045,4922.00330943826,3581.29133822811,1393.26465218953,1504.54911609896,1635.07846329576,1433.41744094841,2699.37252014741,2880.16023019448,3538.81981869625,3467.82692892946,3885.98968864161,3243.4999140062,4021.06868195913,2870.98567597282,4379.11884912439,3780.88810053562,2338.66883761056,2204.64279446828,2055.58071517369,1407.21853960327,1650.14441026087,1872.55390322854,5007.60194242071,5241.78413553255,4823.36549973623,4824.17001601226,5624.52355139067,5281.1743354198,5579.25653844198,5388.55428255052,4745.79452693186,4893.64395248758,4763.03867564572,779.454347436155,590.535778331531,3888.83602289033,4413.56383032607
4,2000-05-01,3787.5,4912.5,4783.5,1611.25,2923,3214.5,1987.5,2452.1,2765.2,1732,1732,1618,1897,2346,2346,4717,5016,1817.95,2264,2234,4050,4285.2,5053,3604,1540.6666,1587.6666,1754.3334,1603.3334,5008,3609,4037,3749,5449.5,4529.5,5944.5,2781.75,4334,3587.5,2033.6666,2050.8333,1868.75,1446.5,1612.25,5183.5,4897,4600,4756,5294.75,4734.25,5054,4083.66666666667,3484,3664.33333333333,3489.33333333333,790.1,580.4,3793.875,4340.25,3937.87373042015,5055.91435700054,4948.25035459525,2492.35810357955,2693.52884231191,3434.94407093234,2483.85517590548,2583.2824962209,2797.29201800058,1857.15077664908,1968.38575547905,1898.19045029055,2062.442159435,2567.11478770132,2567.11478770132,2973.60478748799,4467.67759718212,4640.81611453433,1767.56751589572,2518.94844827959,2270.09875390782,4271.09477040501,4448.59575908978,4912.88911094224,3461.59382400511,1445.68857347182,1542.35786726355,1644.87467748621,1493.71381000986,3258.99999999999,3415.77272052116,3871.65133737051,3805.72910037419,4007.23920733327,3588.23660468825,4122.29961298189,2766.44816517163,4365.48821242644,3564.52555730714,2314.20708265065,2192.55199115249,2009.10762169758,1355.99158657654,1537.57252409554,1675.16062332557,4467.71735863693,4741.17424278041,4374.5002948598,4406.09712061109,5204.36640462718,4742.06199220865,5038.39009413473,4464.78519712394,3906.83847543062,4044.03637833,3934.37244691186,775.63218749265,574.964375688528,3773.35410670247,4220.8173049913
5,2000-06-01,3944,5517,5707,2358.2,2848,3735.4,2563.4,2027,2241,2068.75,2337,2246,2322.3333,2935,2935,4581.6665,5459.5,2206,2637,2254,4409,4596,4790,3426,1533.1666,1571.25,1612.75,1524.25,3028,4261,3977,4181,4229.5,3854,4209.5,3114.5,4456,4299,2535,2307,2134,1390,1493,3652.5,3958.5,3625.5,3789.5,4449.375,3837.25,4103.625,3572.75,3154.5,3238.5,3124.25,705,526,3276,3299,4115.08108578825,5302.57586315865,5109.25027578776,2999.32594284044,3160.75093173042,3955.45075150149,3133.32532004608,3122.12977034071,3352.51373029466,2226.43849968775,2308.05179092227,2225.66095451272,2360.23431230827,2821.25185065073,2821.25185065073,3069.30502795748,4444.01112979974,4630.44777647375,1748.29502830243,2422.47280534658,2119.55777306878,3881.9331253183,4027.49304826715,4835.76475950958,3260.3787479261,1470.39008329268,1544.42739137857,1592.77668627578,1524.22634565037,3657.1428,3694.51659185222,4016.62540719909,4098.05541859887,4074.26195453238,3831.43003791947,4177.79413513288,2585.3873607971,4172.26750394143,3230.32299369838,2229.69999678701,2123.36540663079,1901.1786319469,1272.89725243618,1403.54741921564,1492.87386425149,3800.27053482306,4029.26529632637,3737.29468198616,3749.76273064959,4658.71470452325,4024.10426540744,4313.2961962155,3526.69817248641,3009.68524044582,3168.84948109276,3047.15030455101,774.795870854227,549.915738460639,3693.54894645505,4055.10667910213
6,2000-07-01,4492.524,5354.357,5035.309,4065,2429,5502.5,4573,3797.3,3935.75,4166,4183,3792,4690,4429.5,4429.5,4330.143,4482.619,1719.2832,2203.4,1937,3463,3511.5,4943,2919.3333,1416.3334,1508.5,1486,1542.75,7050,4214,5013,4596,3981,3960,3958,2449,4212,2876,2203,2133,1768.5,1299,1322,2901.1667,3203.8333,2988.3333,2704.1667,4203,3441,3746.5,2884,2232,2561,2497,805.625,555.75,3623,3815.875,4642.86599798892,5651.15429151854,5306.89003354892,3690.1044523531,3712.82672564141,4688.44394570454,3907.55472389347,3708.80403149458,3689.03905610561,2716.70557335927,2734.11353571625,2652.61053511861,2741.60211803191,3092.06508885263,3092.06508885263,3093.84022926652,4309.01081238445,4443.13039213049,1733.27964679062,2353.59999168684,1967.21039025927,3505.26469782145,3653.40972956629,4621.08874796781,3065.44831900408,1444.96712916211,1458.94599369719,1497.72276968045,1498.59866643825,7050,3763.25301704338,4030.77238299858,4254.47788147707,4035.28267311709,3828.87891899439,4217.21889594013,2350.12756930954,3791.62654891096,2831.09696921995,2082.11985511013,1993.05769224958,1795.71488085476,1170.27446605868,1284.13326107296,1335.24158210757,3032.61886854674,3220.40866733647,3060.37228598815,3052.74504709688,4312.29250963113,3489.49424867573,3807.19315472495,2981.72009812008,2575.638364873,2677.54720595652,2560.51496974271,788.51179803683,534.46721739958,3686.72096420839,3927.61442964572
7,2000-08-01,5510,6150.5,5670.5,4674.3335,4370,5262,4875,4232,5054,3306.1072,3165.7856,3080.3333,3161.9167,3323.6946,3323.6946,3796,4040,1390,2486,1577,2152,2593,4218,2504,1392.94045714286,1074.25,1173.1666,1406.1666,4531.2856,3372.6428,3971.5715,4109.2856,3982.5,3789,4696.5,2002.125,3140.75,2304.5,1363,1712.5,1603.5,1177,1198,2140.1667,2321.8333,2228.6667,2274,2716.5,2610,2572.8333,2455,2150,2153,1882,805.5,456,4083.2,4491.1,5184.97379766381,5962.72699209709,5417.98522986358,4520.85979419058,4357.00796048001,5442.72019982428,4673.40133896396,4232.00000000001,3928.98031463789,3306.1072,3166.08256936238,3086.82714099336,3030.36797860632,3269.74010006297,3269.74010006297,2994.18818347586,4212.61302124812,4041.60867483436,1720.96235109319,2192.05628478698,1857.51293859942,3172.452746054,3337.51685860519,4349.37293632187,2958.41465258018,1394.00785503939,1391.64065345229,1435.05448889599,1457.13621300283,4531.28560000001,3460.57648435811,3848.04202276409,4192.57871601668,3799.12595369516,3568.22422044358,4180.2395610154,1973.54225818444,3136.55926799811,2270.24614752587,1918.54393064856,1815.19845201388,1688.33444822888,1077.79259946718,1211.26038236452,1227.41164990699,2541.36401768688,2649.58558132112,2665.88336166549,2616.67290678252,4113.01866508837,3234.22801132775,3567.29168833476,2606.72237623473,2321.09863504543,2345.34560184599,2306.3013319933,818.193954196412,543.378560682955,3727.26518612949,3854.90644229925
8,2000-09-01,5586.5,6247.5,5340.5,5174.5,5088,6193,5194,5475,3914.8335,5456.5,5136.5,5049.5,4994.5,4437,4437,4238,3588,1812.9,1909,1873,3281.6,3453.5,4048,3224,1339.6666,1217.1666,1415.8334,1440.3334,7618,4306,5354,5743,3444.5,3090,4046.5,1415,2108,1201,1660,1469,1568,1080,1043,2214,2036.25,2355.75,2335.5,3995.69642857143,3541.48214285714,3656.7619,2040,2166,1961,2029,902,630,3711.5,3667.5,5353.49240760944,5875.83171320716,5517.71267208004,4562.41478607229,4390.47888910307,5358.0413246328,4771.67225134019,3667.0508891097,3784.42895587466,3199.4048,2977.3418519746,2949.48633607349,3221.95116395709,3368.18511868652,3368.18511868652,2774.06788781176,4143.12005759524,3867.07950041186,1734.10376491667,2091.74047585645,1779.25279808053,3086.38796514695,3313.48456543468,4179.65226909087,2983.25782357992,1350.37221541496,1345.78837691171,1396.11285683139,1407.79486550493,4064.95442617803,2966.08246729399,3548.36189062321,3941.13467347619,3507.48136802152,3239.11045726436,4106.12249720398,1609.19596695414,2643.74188958619,1831.96244610869,1734.20997006547,1644.45404320489,1610.56595534285,1022.92026114141,1178.64184448587,1184.30391855728,2424.5647781964,2487.65389339916,2603.56858189522,2550.03600495979,3977.91344774043,3057.39110387896,3413.09927404442,2517.44823755693,2316.25045470986,2263.72558629856,2302.48922410248,828.701561512577,550.737981051324,3656.65563157264,3765.57486210378
9,2000-10-01,6414,6542,5941,4971.5,5441.5,6431,4948.75,5263,6460,4947,4399,4475,3362.8333,3446.1946,3446.1946,4422,4819,1626.5,1721,1747,1754,1597,3650.3333,2834.3333,1345.25,1410.75,1386,1358,3729,2417,3114,3860.5,2514,2903,3119,2002.125,3140.75,2304.5,1836.4,1773.7,1681.625,1236.5,1264,2384.875,2374.125,2728.5,2694.25,2245.75,2213.875,2273.875,2600,2504,2361,2663,792.5,537.8,3211,3516,5247.82049907401,5484.45028581115,5492.05588211662,4133.42054935071,4016.31296227987,5045.3374238694,4268.01677771437,3319.34244404932,3544.48406777195,3011.61517764632,2763.95719824027,2770.09443729289,3187.61303221834,3354.66827544431,3354.66827544431,2554.55343722843,4020.99877499254,3722.06406729393,1786.38864285969,2124.26736506284,1868.34192112896,3341.96243201408,3604.53220289954,4268.86989675225,3175.28773778975,1281.16090137775,1332.02617574453,1395.0949421737,1367.36226229902,3441.26177526256,2522.71924382993,3081.47510926905,3578.1692426936,3706.07529009891,3110.12824079987,4270.22837406526,1382.68200112408,2231.00264134706,1426.25876059447,1623.24671036399,1521.43348866032,1562.12199493225,991.245174064011,1167.05396227528,1168.33084656789,2691.5024439592,2770.79820162287,2881.09590540754,2849.52875110671,3865.21856521237,2995.1613811838,3456.39145956126,2650.62107610089,2510.13309408155,2403.12819538181,2540.1359872949,822.776172076122,566.774429811268,3766.98276863955,3859.19928539232
